Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
67331251,Sashiko 365: Stitch a new sashiko pattern every day of the year,Susan Briscoe,"Briscoe, Susan",,"=""1446381714""","=""9781446381717""",3.0,David & Charles,Kindle Edition,143,2022,,2026/05/20,2026/07/20,"book-digital, borrowed-library, magazines-guides-diys","book-digital (#57), borrowed-library (#112), magazines-guides-diys (#4)",read,"I picked this up on Kindle Unlimited to try my hand at some patterns. I like the concept of making a square a day and making a quilt out of all the tiny projects. I did not have a sashiko needle, but using what I had, I was able to get started with the patterns and measurements listed within the book. It's a good starting point if you have the time to try something new, but you would need to know a basic level of sewing and how to use a sewing machine to keep the squares from falling apart and then sew them together when making the quilt.<br/><br/>I'll be working through the patterns slowly (cause a 4 by 4 inch square daily for someone who doesn't sew often is still a challenge, but the tiny squares are a good way to tackle it one at a time.)",,,1,0
230848723,The Poison Daughter,Sheila Masterson,"Masterson, Sheila",,"=""""","=""""",5.0,,Kindle Edition,668,2025,2025,2026/07/20,2026/07/12,"book-digital, borrowed-library, favorite-books","book-digital (#59), borrowed-library (#114), favorite-books (#12)",read,,,,1,0
240583647,My Boyfriends Are All Monsters,Kimberly Lemming,"Lemming, Kimberly",,"=""1662534035""","=""9781662534034""",3.0,Amazon Original Stories,Kindle Edition,52,2025,2025,2026/02/14,2026/08/04,"book-digital, borrowed-library","book-digital (#58), borrowed-library (#113)",read,I was having serious issues with the monster manhandling her every other page 😭 <br/><br/>Other than that when he was literally finally talking to her and explaining everything only then did I really calm down about the whole situation.,,,1,0
248340884,"You, Me, & the Conspiracy",Emma Barry,"Barry, Emma",,"=""1668229110""","=""9781668229118""",0,Atria Books,Paperback,352,2026,2026,,2026/08/04,"to-read, advanced-reader-copy, book-digital","to-read (#463), advanced-reader-copy (#3), book-digital (#56)",to-read,,,,0,0
250728792,Hamlet & Juliet (The Star Crossed #1),Clare Edge,"Edge, Clare",,"=""""","=""9798217299874""",0,Delacorte Press,Kindle Edition,,2027,2027,,2026/08/04,"to-read, advanced-reader-copy, book-digital","to-read (#462), advanced-reader-copy (#2), book-digital (#55)",to-read,,,,0,0
220864544,"Adversary to the Villain (Assistant to the Villain, #4)",Hannah Nicole Maehrer,"Maehrer, Hannah Nicole",,"=""""","=""""",0,,Paperback,352,2026,2026,,2026/08/04,to-read,to-read (#461),to-read,,,,0,0
216599364,I See You've Called in Dead,John Kenney,"Kenney, John",,"=""""","=""9798989923038""",0,Zibby Publishing,Kindle Edition,309,2025,2025,,2026/08/01,currently-reading,currently-reading (#3),currently-reading,,,,1,0
56351969,화이트 블러드 1 [White Blood 1],Lina Lim,"Lim, Lina",임리나,"=""""","=""9791190153577""",5.0,영컴,Paperback,304,2020,2020,2021/11/12,2023/06/16,"to-read, manhwa, official-translations, favorite-books, favorite-manhwa-manga","to-read (#235), manhwa (#102), official-translations (#39), favorite-books (#7), favorite-manhwa-manga (#20)",to-read,"It took nearly a year to finish this webtoon! I loved every second of it.<br/>FYI: There is A LOT of gore, strong language, and sensitive material in this read. <br/><br/>The art is 100/10 gorgeous. I loved every single 'frame' of this Webtoon. The characters whether protagonist or antagonist was beautiful. Each of the characters has such depth to their lives. It served to better allow us, readers, to look into their motives/actions and understand what drove their goals and ambitions and changed them into who they are.<br/><br/>The main female lead isn't one to mope and cry. She's such a strong badass queen. If she were real I'd bow to her presence honestly. I love the main couple through thick and thin they have been consistent and true to each other and I find so that so attractive. The visuals are again off the charts (I'm happy to ship the couple at the end too!).<br/><br/>I almost wished this webtoon was a bit longer, but I'm satisfied with how it ended in all honesty. It tied up very nicely and was quite satisfying how everyone received their justice. <br/><br/><spoiler><br/>I love Daniel; I'm so happy this furball made it to the finale! The ending kiss was just goals! I'm so glad I spent the year with this wonderful story. <br/></spoiler>",,,1,0
242975495,Everything was Beautiful and Nothing Hurt,Ben   Reeves,"Reeves, Ben",,"=""1668216361""","=""9781668216361""",0,Avid Reader Press / Simon & Schuster,Hardcover,256,2026,2026,,2026/07/28,to-read,to-read (#460),to-read,,,,0,0
19755850,"The Wishing Spell (The Land of Stories, #1)",Chris Colfer,"Colfer, Chris",,"=""""","=""""",0,"Little, Brown Books for Young Readers",Kindle Edition,454,2012,2012,,2026/07/28,currently-reading,currently-reading (#2),currently-reading,,,,1,0
